Timestamp,Event,Details,Capital
2025-04-30T18:12:51.572Z,Start,"Creato file /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_1m.json",10000.00
2025-04-30T18:12:51.574Z,Start,"Caricate 776 candele 1m",10000.00
2025-04-30T18:12:51.574Z,Start,"Avvio backtest",10000.00
2025-04-30T18:12:51.576Z,Start,"Copiato storico in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_1m.json",10000.00
2025-04-30T18:12:51.579Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.580Z,Error,"Strategia: Cannot read properties of undefined (reading 'lastVolume')",10000.00
2025-04-30T18:12:51.581Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.581Z,Signal,"CVD check, prevVolume=-9.75, currVolume=-2.52",10000.00
2025-04-30T18:12:51.581Z,Signal,"Nessun CVD, prevVolume=-9.75, currVolume=-2.52",10000.00
2025-04-30T18:12:51.582Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.582Z,Signal,"CVD check, prevVolume=-2.52, currVolume=0.63",10000.00
2025-04-30T18:12:51.583Z,Signal,"Bullish CVD su TF 3m, lastVolume=0.63",10000.00
2025-04-30T18:12:51.583Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-04-30T18:12:51.583Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.583Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.584Z,Signal,"CVD check, prevVolume=0.63, currVolume=191.41",10000.00
2025-04-30T18:12:51.584Z,Signal,"Nessun CVD, prevVolume=0.63, currVolume=191.41",10000.00
2025-04-30T18:12:51.584Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-04-30T18:12:51.584Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.584Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.584Z,Signal,"CVD check, prevVolume=191.41, currVolume=53.43",10000.00
2025-04-30T18:12:51.584Z,Signal,"Nessun CVD, prevVolume=191.41, currVolume=53.43",10000.00
2025-04-30T18:12:51.584Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-04-30T18:12:51.585Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.585Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.585Z,Signal,"CVD check, prevVolume=53.43, currVolume=-5.95",10000.00
2025-04-30T18:12:51.585Z,Signal,"Bearish CVD su TF 3m, lastVolume=-5.95",10000.00
2025-04-30T18:12:51.585Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-04-30T18:12:51.585Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.586Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.586Z,Signal,"CVD check, prevVolume=-5.95, currVolume=-51.88",10000.00
2025-04-30T18:12:51.586Z,Signal,"Nessun CVD, prevVolume=-5.95, currVolume=-51.88",10000.00
2025-04-30T18:12:51.586Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-04-30T18:12:51.586Z,FVG,"Bearish confermato, top=84891.20, bottom=84846.60, size=44.60",10000.00
2025-04-30T18:12:51.586Z,FVG,"Bearish confermato, top=84891.20, bottom=84846.60, size=44.60",10000.00
2025-04-30T18:12:51.586Z,Error,"Entrata saltata: slDistance non valido (0)",10000.00
2025-04-30T18:12:51.587Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.587Z,Signal,"CVD check, prevVolume=-51.88, currVolume=-97.52",10000.00
2025-04-30T18:12:51.587Z,Signal,"Nessun CVD, prevVolume=-51.88, currVolume=-97.52",10000.00
2025-04-30T18:12:51.587Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-04-30T18:12:51.587Z,FVG,"Bearish confermato, top=84847.10, bottom=84814.30, size=32.80",10000.00
2025-04-30T18:12:51.587Z,FVG,"Bearish confermato, top=84847.10, bottom=84814.30, size=32.80",10000.00
2025-04-30T18:12:51.588Z,Error,"Entrata saltata: slDistance non valido (0)",10000.00
2025-04-30T18:12:51.588Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.588Z,Signal,"CVD check, prevVolume=-97.52, currVolume=42.56",10000.00
2025-04-30T18:12:51.588Z,Signal,"Bullish CVD su TF 3m, lastVolume=42.56",10000.00
2025-04-30T18:12:51.588Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-04-30T18:12:51.588Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.589Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.590Z,Signal,"CVD check, prevVolume=42.56, currVolume=-6.29",10000.00
2025-04-30T18:12:51.590Z,Signal,"Bearish CVD su TF 3m, lastVolume=-6.29",10000.00
2025-04-30T18:12:51.590Z,FVG,"Check: ATR=67.92, fvgSensitivity=0.20, Threshold=13.58",10000.00
2025-04-30T18:12:51.590Z,FVG,"Bullish scartato, size=2.20 < threshold=13.58 ",10000.00
2025-04-30T18:12:51.590Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.591Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.591Z,Signal,"CVD check, prevVolume=-6.29, currVolume=2.57",10000.00
2025-04-30T18:12:51.591Z,Signal,"Bullish CVD su TF 3m, lastVolume=2.57",10000.00
2025-04-30T18:12:51.591Z,FVG,"Check: ATR=64.18, fvgSensitivity=0.20, Threshold=12.84",10000.00
2025-04-30T18:12:51.591Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.591Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.592Z,Signal,"CVD check, prevVolume=2.57, currVolume=0.74",10000.00
2025-04-30T18:12:51.592Z,Signal,"Nessun CVD, prevVolume=2.57, currVolume=0.74",10000.00
2025-04-30T18:12:51.592Z,FVG,"Check: ATR=63.33, fvgSensitivity=0.20, Threshold=12.67",10000.00
2025-04-30T18:12:51.592Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
