Timestamp,Event,Details,Capital
2025-04-16T20:27:43.962Z,Start,"Eliminato file /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_1m.json",10000.00
2025-04-16T20:27:43.962Z,Start,"Creato file /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_1m.json",10000.00
2025-04-16T20:27:43.963Z,Start,"Caricate 280 candele 1m",10000.00
2025-04-16T20:27:43.963Z,Start,"Avvio backtest",10000.00
2025-04-16T20:27:43.964Z,Start,"Copiato storico in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_1m.json",10000.00
2025-04-16T20:27:43.965Z,Signal,"Insufficienti candele anchor (0)",10000.00
2025-04-16T20:27:43.967Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.968Z,Signal,"Insufficienti candele anchor (1)",10000.00
2025-04-16T20:27:43.969Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.969Z,Signal,"CVD check, prevVolume=-9.75, currVolume=-9.75",10000.00
2025-04-16T20:27:43.969Z,Signal,"Nessun CVD, prevVolume=-9.75, currVolume=-9.75",10000.00
2025-04-16T20:27:43.970Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.970Z,Signal,"CVD check, prevVolume=-9.75, currVolume=-9.75",10000.00
2025-04-16T20:27:43.970Z,Signal,"Nessun CVD, prevVolume=-9.75, currVolume=-9.75",10000.00
2025-04-16T20:27:43.971Z,SaveCandles,"Salvate 2 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.972Z,Signal,"CVD check, prevVolume=-9.75, currVolume=189.52",10000.00
2025-04-16T20:27:43.972Z,Signal,"Bullish CVD su TF 3m, lastVolume=189.52",10000.00
2025-04-16T20:27:43.972Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-04-16T20:27:43.972Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:43.973Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.974Z,Signal,"CVD check, prevVolume=189.52, currVolume=192.04",10000.00
2025-04-16T20:27:43.974Z,Signal,"Nessun CVD, prevVolume=189.52, currVolume=192.04",10000.00
2025-04-16T20:27:43.974Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-04-16T20:27:43.974Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:43.974Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.975Z,Signal,"CVD check, prevVolume=192.04, currVolume=192.04",10000.00
2025-04-16T20:27:43.975Z,Signal,"Nessun CVD, prevVolume=192.04, currVolume=192.04",10000.00
2025-04-16T20:27:43.975Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
2025-04-16T20:27:43.975Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:43.976Z,SaveCandles,"Salvate 2 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.976Z,Signal,"CVD check, prevVolume=192.04, currVolume=-4.40",10000.00
2025-04-16T20:27:43.976Z,Signal,"Bearish CVD su TF 3m, lastVolume=-4.40",10000.00
2025-04-16T20:27:43.976Z,FVG,"Check: ATR=0.00, fvgSensitivity=0.20, Threshold=0.00",10000.00
